URL,DSLD ID,Product Name,Company Name,Address,City,State,ZIP,Country,Manufacturer,Distributor,Packager,Reseller,Other
https://dsld.od.nih.gov/label/210400,210400,Double Strength Pantethine 600 mg,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,no,no,yes,no,no
https://dsld.od.nih.gov/label/210401,210401,Vitamin C Crystals,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,no,no,yes,no,no
https://dsld.od.nih.gov/label/210402,210402,Re-Digest,AntiAging Institute of California Inc.,,Beverly Hills,CA,90210,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210403,210403,Vitamin C Crystals,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,no,no,yes,no,no
https://dsld.od.nih.gov/label/210404,210404,Vegetarian Dry E-400,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,no,no,yes,no,no
https://dsld.od.nih.gov/label/210405,210405,Athlete's Whey Chocolate Shake,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210406,210406,Natural E-200,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,yes,no,no,no,no
https://dsld.od.nih.gov/label/210407,210407,Phyllanthus Niruri with Xanthium Chinese 1000 mg,Germa Products LLC,12300 SW 132 Court,Miami,FL,33186,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210408,210408,Natural E-400,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,no,no,yes,no,no
https://dsld.od.nih.gov/label/210409,210409,Soy-Free Sun-E Liquid,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,yes,no,no,no,no
https://dsld.od.nih.gov/label/210410,210410,Calcium Citrate,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,yes,no,no,no,no
https://dsld.od.nih.gov/label/210411,210411,Calcium Citrate,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,yes,no,no,no,no
https://dsld.od.nih.gov/label/210412,210412,Chanca Piedra 1000 mg,Germa Products LLC,12300 SW 132 Court,Miami,FL,33186,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210413,210413,Calcium & Magnesium,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,yes,no,no,no,no
https://dsld.od.nih.gov/label/210414,210414,Calcium & Magnesium,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,no,no,yes,no,no
https://dsld.od.nih.gov/label/210415,210415,Magnesium & Calcium,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,yes,no,no,no,no
https://dsld.od.nih.gov/label/210416,210416,Magnesium & Calcium,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,yes,no,no,no,no
https://dsld.od.nih.gov/label/210417,210417,Liquid Magnesium with Trace Minerals,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,no,no,yes,no,no
https://dsld.od.nih.gov/label/210418,210418,Magnesium Citrate 200 mg,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,yes,no,no,no,no
https://dsld.od.nih.gov/label/210419,210419,Vata Digest,Banyan Botanicals,,Albuquerque,NM,87113,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210420,210420,Magnesium Citrate 200 mg,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,yes,no,no,no,no
https://dsld.od.nih.gov/label/210421,210421,Magnesium Bisglycinate Powder,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,no,no,yes,no,no
https://dsld.od.nih.gov/label/210422,210422,Boron 3 mg,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,yes,no,no,no,no
https://dsld.od.nih.gov/label/210423,210423,Super B Complex with Vitamin C,CVS Pharmacy Inc.,One CVS Drive,Woonsocket,RI,02895,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210424,210424,Boron 3 mg,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,yes,no,no,no,no
https://dsld.od.nih.gov/label/210425,210425,Peony & Licorice Teapills,Mayway Corp.,,Oakland,CA,94607,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210426,210426,Potassium Citrate 99 mg,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,yes,no,no,no,no
https://dsld.od.nih.gov/label/210427,210427,Selenium 100 mcg,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,yes,no,no,no,no
https://dsld.od.nih.gov/label/210428,210428,Cod Liver Oil,Germa Products LLC,12300 SW 132 Court,Miami,FL,33186,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210429,210429,Selenium 100 mcg,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,yes,no,no,no,no
https://dsld.od.nih.gov/label/210430,210430,Selenium 200 mcg,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,yes,no,no,no,no
https://dsld.od.nih.gov/label/210431,210431,Elite Casein Cinnamon Bun,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210432,210432,Red Mineral Algae,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,yes,no,no,no,no
https://dsld.od.nih.gov/label/210433,210433,Full Spectrum Mineral Caps,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,yes,no,no,no,no
https://dsld.od.nih.gov/label/210434,210434,Full Spectrum Mineral Caps,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,yes,no,no,no,no
https://dsld.od.nih.gov/label/210435,210435,Cod Liver Oil,Germa Products LLC,12300 SW 132 Court,Miami,FL,33186,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210436,210436,Qi Ye Lian Tablets,Mayway Corp.,,Oakland,CA,94607,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210437,210437,Kid's Chewable DHA Fruit Flavor,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,no,no,yes,no,no
https://dsld.od.nih.gov/label/210438,210438,Relief Stool Softener,AntiAging Institute of California Inc.,,Beverly Hills,CA,90210,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210439,210439,Elite Casein Rich Chocolate,Dymatize Enterprises LLC,,Dallas,TX,75207,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210440,210440,Double Strength DHA-500,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/210441,210441,SpectraVite Adult,CVS Pharmacy Inc.,One CVS Drive,Woonsocket,RI,02895,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210442,210442,Double Strength DHA-500,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,no,no,yes,no,no
https://dsld.od.nih.gov/label/210443,210443,Collagen 1500 mg,Germa Products LLC,12300 SW 132 Court,Miami,FL,33186,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210444,210444,Qing Wei Teapills,MAYWAY CORP. USA,1338 Mandela Parkway,Oakland,CA,94607,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210445,210445,Collagen Strawberry Flavor,Germa Products LLC,12300 SW 132 Court,Miami,FL,33186,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210446,210446,Prostate Health,AntiAging Institute of California,,Beverly Hills,Ca,90210,,no,yes,no,no,no
https://dsld.od.nih.gov/label/210447,210447,Neptune Krill Oil 500 mg,NOW Foods,395 S. Glen Ellyn Rd.,Bloomingdale,IL,60108,USA,no,no,yes,no,no
