URL,DSLD ID,Product Name,Company Name,Address,City,State,ZIP,Country,Manufacturer,Distributor,Packager,Reseller,Other
https://dsld.od.nih.gov/label/64938,64938,Disney Frozen Complete Multi-Vitamin Gummies,NatureSmart LLC,,Bohemia,NY,11716,USA,yes,no,no,no,no
https://dsld.od.nih.gov/label/64939,64939,RAW Enzymes Men 50 & Wiser,Garden of Life LLC,5500 Village Blvd,West Palm Beach,FL,33407,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/64940,64940,RAW Enzymes Men 50 & Wiser,Garden of Life LLC,4200 Northcorp Parkway,Palm Beach Gardens,FL,33410,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/64941,64941,Kids,Garden of Life LLC,4200 Northcorp Parkway,Palm Beach Gardens,FL,33410,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/64942,64942,RAW Probiotis Colon Care,Garden of Life LLC,4200 Northcorp Parkway,Palm Beach Gardens,FL,33410,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/64943,64943,Pure Omega Ultra HP,Integrative Therapeutics LLC,,Green Bay,WI,54311,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/64944,64944,RF Plus,Integrative Therapeutics LLC,,Green Bay,WI,54311,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/64945,64945,Sleep Reset Orange Flavored,Integrative Therapeutics LLC,,Green Bay,WI,54311,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/64946,64946,Joint Care,Reckitt Benckiser,,Parsippany,NJ,07054-0224,,no,yes,no,no,no
https://dsld.od.nih.gov/label/64947,64947,Ultra Concentration Omega-3 Krill Oil 750 mg,Reckitt Benckiser,,Parsippany,NJ,07054-0224,,no,yes,no,no,no
https://dsld.od.nih.gov/label/64948,64948,4 in 1 900 mg Extra Strength,Reckitt Benckiser,,Parsippany,NJ,07054-0224,,no,yes,no,no,no
https://dsld.od.nih.gov/label/64949,64949,MediClear-SGS,Thorne Research Inc.,P.O. Box 25,Dover,Idaho,83825,USA,no,yes,no,no,no
https://dsld.od.nih.gov/label/64950,64950,Fiber-Tastic!,ReNew Life Formulas,,Palm Harbor,FL,34683,,no,yes,no,no,no
https://dsld.od.nih.gov/label/64951,64951,Essential AMIN.O. Energy Iced Caramel Macchiato Flavor,Optimum Nutrition Inc.,3500 Lacey Road Suite 1200,Downers Grove,IL,60515,,yes,no,no,no,no
https://dsld.od.nih.gov/label/64952,64952,Fiber-Tastic!,ReNew Life Formulas,,Clearwater,FL,33765,,yes,no,no,no,no
