auc,accuracy,precision,recall,f1,fold
0.8533583900435862,0.7738952341462801,0.6783889389840697,0.7557341369496066,0.714975845410628,1
0.8522540365449816,0.7727769610614799,0.6798680875751931,0.7455215134773145,0.7111828025681157,2
0.8472220803373254,0.7726890069986304,0.6843819485766184,0.7317016004821536,0.7072511610595984,3
0.8509342615286232,0.7743098747282847,0.6817626580345691,0.7475055246768901,0.7131220852232799,4
0.8517282607848466,0.7761820397803662,0.6868971933633121,0.741612535994107,0.7132070003703048,5
